Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location,UniqueID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
1243902-01-201,306019,Shatara Suheil E,Shatara Architecture Inc,60 Divisadero St,San Francisco,CA,94117,1/1/1997,,1/1/1997,12/31/2020,26 Lakeview Dr,Daly City,94015,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,8,Castro/Upper Market,,POINT (-122.43654 37.768303),1243902-01-201-0306019-5400-5499-01-01-1997,112,7,5,5,112
0170247-01-001,170247,Henriquez Reinaldo,City Tours,705 Vallejo St #52,San Francisco,CA,94133,4/15/1988,,1/1/2009,,705 Vallejo St Rm 52,San Francisco,94133,CA,,,FALSE,FALSE,,,3,Chinatown,,POINT (-122.40897 37.798523),0170247-01-001-0170247--01-01-2009,106,6,3,6,106
1125567-10-161,130286,Chador Abraham & Co Inc,Abraham Chador & Co Inc,27 Maiden Lane  203,San Francisco,CA,94108,7/1/1978,,8/1/2014,,0000 Undeliverable Mail,San Francisco,99999,CA,4200-4299,Wholesale Trade,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.40404 37.78834),1125567-10-161-0130286-4200-4299-08-01-2014,19,6,3,8,19
0189884-03-001,189884,Mission Language & Vocl Sch,Mlvs Technology Center,2929 19th St,San Francisco,CA,94110,1/1/2004,,3/24/2009,12/31/2013,2929 19th St,San Francisco,94110,CA,7220-7229,Food Services,FALSE,FALSE,,,9,Mission,,POINT (-122.41122 37.760384),0189884-03-001-0189884-7220-7229-03-24-2009,53,3,2,20,53
0318928-03-001,318928,John W De Roy Chiroprac Corp,John W Deroy Chiropractic Corp,120 Hickory St,San Francisco,CA,94102,1/1/1998,,5/20/2007,,120b Hickory St,San Francisco,94102,CA,6100-6299,Private Education and Health Services,FALSE,FALSE,,,5,Hayes Valley,,POINT (-122.42146 37.77567),0318928-03-001-0318928-6100-6299-05-20-2007,21,4,11,9,21
0030032-35-001,30032,Walgreen Co,Walgreens #13671,3931 Alemany Blvd 2001,San Francisco,CA,94132,10/1/1968,,4/1/2009,7/7/2015,300 Wilmot Rd # Stop,Deerfield,60015,IL,4400-4599,Retail Trade,FALSE,FALSE,,,7,Oceanview/Merced/Ingleside,,POINT (-122.46833 37.710907),0030032-35-001-0030032-4400-4599-04-01-2009,65,10,8,24,65
1228793-07-191,148350,Willis John P,Willis And Co,1945 Hyde St Unit 5,San Francisco,CA,94109,10/12/1984,5/31/2019,7/23/2019,5/31/2019,,,,,,,FALSE,FALSE,,,3,Russian Hill,,POINT (-122.41901 37.79881),1228793-07-191-0148350--07-23-2019,107,6,3,32,107
1296513-02-221,46324,Compass Group Usa Inc,Canteen @ Wework 1460 Mission Street,1460 Mission St,San Francisco,CA,94103,10/1/1968,,2/1/2022,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,FALSE,FALSE,,,6,South of Market,,POINT (-122.41665 37.774727),1296513-02-221-0046324-7220-7229-02-01-2022,32,1,10,34,32
1188524-05-181,27090,Stanley Produce Co Inc,Stanley Produce Co Inc.,2088 Jerrold Ave,San Francisco,CA,94124,10/1/1968,,12/10/2016,,2088 Jerrold Ave,San Francisco,94124,CA,4200-4299,Wholesale Trade,FALSE,FALSE,H15 Wm19 Wmloc,Multiple,10,Bayview Hunters Point,,POINT (-122.39857 37.744072),1188524-05-181-0027090-4200-4299-12-10-2016,85,2,9,1,85
1296514-02-221,46324,Compass Group Usa Inc,Canteen @ Wework Salesforce Tower,415 Mission St,San Francisco,CA,94105,10/1/1968,,2/1/2022,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,FALSE,FALSE,,,6,Financial District/South Beach,,POINT (-122.39685 37.7903),1296514-02-221-0046324-7220-7229-02-01-2022,32,1,10,8,32
0310148-01-001,310148,Blasko Peter B Et Al,2092-2098 California Street,2092 California St #98,San Francisco,CA,94109,9/20/1997,,9/20/1997,,1240 Woodside Rd Apt 18,Redwood City,94061,CA,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,2,Pacific Heights,,POINT (-122.42871 37.789585),0310148-01-001-0310148-5300-5399-09-20-1997,102,4,6,30,102
0135472-01-001,135472,Saddul Oscar Allado Md Inc,Dr Oscar Allado Saddul-Md,2460 Mission St Ste 215,San Francisco,CA,94110,5/15/1982,,5/15/1982,,2460 Mission St 217 Ste,San Francisco,94110,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,9,Mission,,POINT (-122.419 37.757675),0135472-01-001-0135472-5400-5499-05-15-1982,53,3,2,20,53
0369698-02-001,369698,San Francisco Associates Inc,San Francisco Associates Inc.,847 Sansome St Fl 4,San Francisco,CA,94111,1/2/2000,,1/1/2010,,855 Sansome St Fl 3,San Francisco,94111,CA,5210-5239,Financial Services,FALSE,FALSE,,,3,North Beach,,POINT (-122.40216 37.79794),0369698-02-001-0369698-5210-5239-01-01-2010,106,6,3,23,106
0189644-02-001,189644,Neirro Erainya Rodgers G Etal,239-245 Bartlett St Condo Assn,239 Bartlett St #245,San Francisco,CA,94110,1/1/1989,,1/24/2005,,191 Caselli Ave,San Francisco,94114,CA,,,FALSE,FALSE,,,9,Mission,,POINT (-122.41961 37.75313),0189644-02-001-0189644--01-24-2005,53,3,2,20,53
0070942-01-001,70942,Mackota Fred R,30 Liberty Apts,30 Liberty St,San Francisco,CA,94110,12/31/2001,,12/31/2001,,220 Bosworth St,San Francisco,94112,CA,7210-7219,Accommodations,FALSE,FALSE,,,8,Mission,,POINT (-122.421875 37.757687),0070942-01-001-0070942-7210-7219-12-31-2001,52,3,5,20,52
0094620-09-001,94620,Hsbc Securities Inc,Hsbc Securities (Usa) Inc,1133 Rajkovich Way,San+francisco,CA,94123,9/8/1971,,12/31/2012,6/30/2016,1421 W Shure Dr Ste 100,Arlington Heights,60004,IL,5210-5239,Financial Services,FALSE,FALSE,,,2,Marina,,POINT (-122.437614 37.800644),0094620-09-001-0094620-5210-5239-12-31-2012,17,4,6,13,17
0094620-19-001,94620,Hsbc Securities Inc,Hsbc Securities (Usa) Inc,550 Battery St,San+francisco,CA,94123,9/8/1971,,2/26/2014,6/30/2016,1421 W Shure Dr Ste 100,Arlington Heights,60004,IL,5210-5239,Financial Services,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.39988 37.79643),0094620-19-001-0094620-5210-5239-02-26-2014,77,6,3,8,77
0094620-05-001,94620,Hsbc Securities Inc,Hsbc Securities (Usa) Inc,1900 Trousdale Dr,San+francisco,CA,94118,9/8/1971,,12/31/2012,6/30/2016,1421 W Shure Dr Ste 100,Arlington Heights,60004,IL,5210-5239,Financial Services,FALSE,FALSE,,,,,,POINT (-122.38681 37.591793),0094620-05-001-0094620-5210-5239-12-31-2012,,,,,
0102154-01-001,102154,Kiem Barbara & Bertha,725 Buena Vista Apts,725 Buena Vista Ave,San Francisco,CA,94117,1/1/1976,,1/1/1976,,192 Heather Dr,Atherton,94027,CA,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,8,Haight Ashbury,,POINT (-122.443695 37.767918),0102154-01-001-0102154-5300-5399-01-01-1976,112,7,5,3,112
0118960-01-001,118960,Jue Richard K & Sally P,156 Terra Vista Apts,156 Terra Vista Ave,San Francisco,CA,94115,1/28/1977,2/18/2016,1/28/1977,2/18/2016,,,,,,,FALSE,FALSE,,,2,Lone Mountain/USF,,POINT (-122.44454 37.781128),0118960-01-001-0118960--01-28-1977,13,7,6,18,13
1261071-09-201,75314,Vanderbyl Michael,Vanderbyl Design,610 22nd St Ste 312,San Francisco,CA,94107,8/1/1972,,11/1/2019,11/1/2021,511 Tokay Ln,St Helena,94574,CA,,,FALSE,FALSE,,,10,Potrero Hill,,POINT (-122.387505 37.758015),1261071-09-201-0075314--11-01-2019,55,2,9,26,55
0311243-01-001,311243,Levensohn Venture Partners Llc,Levensohn Venture Partners Llc,101 California St 1200,San Francisco,CA,94111,7/1/1996,6/16/2021,7/25/2010,7/11/2011,,,,,5210-5239,Financial Services,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.39771 37.79347),0311243-01-001-0311243-5210-5239-07-25-2010,108,6,3,8,108
0393483-01-001,393483,Wechter J,San Francisco Treasure Hunts,912 Cole St #223,San Francisco,CA,94117,11/23/2005,,11/23/2005,,912 Cole St # 223,San Francisco,94117,CA,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,5,Haight Ashbury,,POINT (-122.44989 37.76562),0393483-01-001-0393483-7100-7199-11-23-2005,29,7,11,3,29
0094620-12-001,94620,Hsbc Securities Inc,Hsbc Securities (Usa) Inc,1988 Martin Luther King Jr Way,San+francisco,CA,94133,9/8/1971,,12/31/2012,6/30/2016,1421 W Shure Dr Ste 100,Arlington Heights,60004,IL,5210-5239,Financial Services,FALSE,FALSE,,,1,Golden Gate Park,,POINT (-122.49502 37.765556),0094620-12-001-0094620-5210-5239-12-31-2012,9,8,4,12,9
0094620-10-001,94620,Hsbc Securities Inc,Hsnc Securities (Usa) Inc,48 Trellis Dr,San+francisco,CA,94133,9/8/1971,,12/31/2012,6/30/2016,1421 W Shure Dr Ste 100,Arlington Heights,60004,IL,5210-5239,Financial Services,FALSE,FALSE,,,3,North Beach,,POINT (-122.410904 37.80214),0094620-10-001-0094620-5210-5239-12-31-2012,106,6,3,23,106
0094620-03-001,94620,Hsbc Securities Inc,Hsbc Securities (Usa) Inc,2257 Irving St,San Francisco,CA,94122,9/8/1971,,1/1/2010,,1421 W Shure Dr Ste 100,Arlington Heights,60004,IL,5210-5239,Financial Services,FALSE,FALSE,,,4,Sunset/Parkside,,POINT (-122.482 37.76332),0094620-03-001-0094620-5210-5239-01-01-2010,39,10,7,35,39
0098654-01-001,98654,Raddie Michael & Drobey R Eta,781-797 14th St Apts,781 14th St,San Francisco,CA,94114,7/1/1975,5/29/2015,7/1/1975,5/29/2015,,,,,,,FALSE,FALSE,,,8,Castro/Upper Market,,POINT (-122.43074 37.767593),0098654-01-001-0098654--07-01-1975,28,7,5,5,28
0347331-04-004,347331,Propark America West Llc,Propark America West Llc,542 Geary St,San Francisco,CA,94102,8/1/2001,,7/1/2008,4/6/2013,Po Box 204,San Francisco,94104,CA,,,FALSE,FALSE,,,3,Tenderloin,,POINT (-122.41218 37.78688),0347331-04-004-0347331--07-01-2008,50,6,3,36,50
0198806-01-001,198806,Waner Janet S,Waner Janet S Phd,2919 Sacramento St #3,San Francisco,CA,94115,7/1/1990,,5/1/2001,7/8/2019,2057 Divisadero St # 2,San Francisco,94115,CA,6100-6299,Private Education and Health Services,FALSE,FALSE,,,2,Pacific Heights,,POINT (-122.440994 37.78892),0198806-01-001-0198806-6100-6299-05-01-2001,102,8,6,30,102
1009951-10-141,313594,Health Diagnostics Of California A Professional Corporation,San Francisco Sfmrc,1180 Post St,San Francisco,CA,94109,4/14/2008,,4/14/2008,4/14/2008,6900 E Camelback Rd 700 Ste,Scottsdale,85251,AZ,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,3,Nob Hill,,POINT (-122.4212 37.786694),1009951-10-141-0313594-5400-5499-04-14-2008,50,4,3,21,50
0347331-10-001,347331,Propark America West Llc,Propark America West Llc,433 Mason St,San Francisco,CA,94102,8/1/2001,,7/10/2009,7/17/2016,Po Box 204,San Francisco,94104,CA,,,FALSE,FALSE,,,3,Tenderloin,,POINT (-122.41 37.787624),0347331-10-001-0347331--07-10-2009,50,6,3,36,50
0347331-12-001,347331,Propark America West Llc,Pro Park America West Llc,334 Mason St,San Francisco,CA,94102,8/1/2001,,11/1/2012,4/1/2015,Po Box 204,San Francisco,94104,CA,,,FALSE,FALSE,,,3,Tenderloin,,POINT (-122.40976 37.78677),0347331-12-001-0347331--11-01-2012,19,5,3,36,19
1007059-09-141,347331,Propark America West Llc,Pro Park America West Llc,750 Front St,San Francisco,CA,94111,8/1/2001,,6/1/2014,9/23/2019,Po Box 204,San Francisco,94104,CA,,,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.39975 37.79828),1007059-09-141-0347331--06-01-2014,77,6,3,8,77
0383290-01-001,383290,Mcdowell Properties,Mcdowell Properties,601 Montgomery St 2000,San Francisco,CA,94111,8/1/2002,,1/1/2008,10/8/2013,111 Pine St Ste 1850,San Francisco,94111,CA,,,FALSE,FALSE,,,3,Chinatown,,POINT (-122.40319 37.79475),0383290-01-001-0383290--01-01-2008,104,6,3,6,104
0344054-04-001,344054,Microstrategy Services Corporation,Microstrategy Services Corp,101 Montgomery St 550,San Francisco,CA,94104,1/1/2000,,12/5/2011,12/31/2016,17 Bluxome St,San Francisco,94107,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.402245 37.790123),0344054-04-001-0344054-5400-5499-12-05-2011,19,6,3,8,19
0109587-01-001,109587,Chang Jane & Grace,Red Coach Motor Lodge,700 Eddy St,San Francisco,CA,94109,11/28/1977,12/12/2016,11/28/1977,12/12/2016,,,,,,,FALSE,FALSE,,,6,Tenderloin,,POINT (-122.4193 37.783115),0109587-01-001-0109587--11-28-1977,20,4,10,36,20
0030831-01-001,30831,Wilbur-Ellis Co,Wilbur-Ellis Co,345 California St Fl 27,San Francisco,CA,94104,10/1/1968,,11/1/1997,,345 California St 27 Fl,San Francisco,94104,CA,4200-4299,Wholesale Trade,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.40049 37.793114),0030831-01-001-0030831-4200-4299-11-01-1997,108,6,3,8,108
0313324-01-001,313324,Walker Debra D,Debra Walker,540 Alabama St #216,San Francisco,CA,94110,1/1/1998,,1/1/1998,,540 Alabama St # 218,San Francisco,94110,CA,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,9,Mission,,POINT (-122.412155 37.76238),0313324-01-001-0313324-7100-7199-01-01-1998,53,3,2,20,53
0357107-01-001,357107,Macdougall Laurie Jean,Macdougall & Company,306 Lily St Apt C,San Francisco,CA,94102,6/28/2002,4/29/2021,6/28/2002,4/29/2021,,,,,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,5,Hayes Valley,,POINT (-122.426 37.77413),0357107-01-001-0357107-7100-7199-06-28-2002,26,4,11,9,26
0094620-08-001,94620,Hsbc Securities Inc,Hsbc Securities (Usa) Inc,135 Geldert Dr,San+francisco,CA,94123,9/8/1971,,12/31/2012,6/30/2016,1421 W Shure Dr Ste 100,Arlington Heights,60004,IL,5210-5239,Financial Services,FALSE,FALSE,,,7,Sunset/Parkside,,POINT (-122.49314 37.731247),0094620-08-001-0094620-5210-5239-12-31-2012,43,10,8,35,43
0309181-02-002,309181,Farallon Geographics Inc,"Farallon Geographics Inc.,",601 Montgomery St Ste 1095,San Francisco,CA,94111,9/3/2003,,10/1/2013,,580 California St 16 #,San Francisco,94104,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,3,Chinatown,,POINT (-122.40319 37.79475),0309181-02-002-0309181-5400-5499-10-01-2013,104,6,3,6,104
0167736-01-001,167736,Quinn Janice L & Patricia Ann,Cornelia,1000 Point St Apt 1504,San Francisco,CA,94109,2/1/1988,6/3/2010,2/1/1988,6/3/2010,,,,,,,FALSE,FALSE,,,2,Russian Hill,,POINT (-122.423775 37.805298),0167736-01-001-0167736--02-01-1988,98,6,6,32,98
0315832-01-999,315832,Hausrath Economics Group,Hausrath Economics Group,1212 Broadway  Ste 1500,Oakland,CA,94612,4/13/1998,12/31/2020,4/13/1998,12/31/2020,,,,,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,,,,POINT (-122.271515 37.803017),0315832-01-999-0315832-5400-5499-04-13-1998,,,,,
0320576-02-001,320576,Boutrin Anthony N,Sf Vendings,1945 Sutter St Apt K,San Francisco,CA,94115,10/13/1998,2/19/2021,12/2/2002,2/19/2021,,,,,7220-7229,Food Services,FALSE,FALSE,,,5,Japantown,,POINT (-122.432045 37.786213),0320576-02-001-0320576-7220-7229-12-02-2002,101,4,11,15,101
1024601-04-151,149132,24 Hour Fitness Usa Llc,24 Hour Fitness Club 273,3951 Alemany Blvd,San Francisco,CA,94132,12/8/1984,,12/20/2014,12/20/2014,Po Box 2409,Carlsbad,92018,CA,,,FALSE,FALSE,,,7,Oceanview/Merced/Ingleside,,POINT (-122.46858 37.710804),1024601-04-151-0149132--12-20-2014,65,10,8,24,65
0395125-01-001,395125,Wang James Y,The Well Modern Chiropractic,364 Hayes St 2nd Fl,San Francisco,CA,94102,1/30/2006,,10/1/2008,9/1/2014,77 Van Ness Ave 101 Ste,San Francisco,94102,CA,6100-6299,Private Education and Health Services,FALSE,FALSE,,,5,Hayes Valley,,POINT (-122.42238 37.776985),0395125-01-001-0395125-6100-6299-10-01-2008,21,4,11,9,21
0149132-10-001,149132,24 Hour Fitness Usa Llc,24 Hour Fitness #701,3800 24th St Ste 2,San Francisco,CA,94114,12/8/1984,,4/2/2005,9/30/2020,Po Box 2409,Carlsbad,92018,CA,,,FALSE,FALSE,H03,"Retail Mkts W/o Prep (Under 5,001)",8,Noe Valley,,POINT (-122.42755 37.751724),0149132-10-001-0149132--04-02-2005,84,3,5,22,84
0361180-01-001,361180,Boughan Kieran J,Kieran Boughan Architect,845 Waller St Apt 5,San Francisco,CA,94117,11/1/2002,,11/1/2002,,845 Waller St Apt 5,San Francisco,94117,CA,,,FALSE,FALSE,,,8,Haight Ashbury,,POINT (-122.4376 37.770214),0361180-01-001-0361180--11-01-2002,112,7,5,3,112
0386515-05-999,386515,Arkadin Inc,Arkadin Inc,5 Concourse Pkwy Ste 1600,Atlanta,GA,30328,12/31/2013,,5/8/2014,5/28/2020,5 Concourse Pkwy 1600 Ste,Atlanta,30328,GA,5600-5699,Administrative and Support Services,FALSE,FALSE,,,,,,POINT (-84.35473 33.917355),0386515-05-999-0386515-5600-5699-05-08-2014,,,,,
0106751-01-002,106751,Ihi Inc,Ihi Inc,50 Fremont St #3200,San Francisco,CA,94105,7/1/1991,3/31/2021,1/1/1995,3/31/2021,,,,,4200-4299,Wholesale Trade,FALSE,FALSE,,,6,Financial District/South Beach,,POINT (-122.3975 37.79107),0106751-01-002-0106751-4200-4299-01-01-1995,108,6,10,8,108
0335922-01-999,335922,Teva Pharmaceuticals Usa Inc,Teva Pharmaceuticals Usa Inc,1510 Delp Dr,Kulpsville,PA,19443,1/1/2000,,1/1/2000,,400 Interpace Pkwy Bldg D-Indirect Tax,Parsippany,7054,NJ,4200-4299,Wholesale Trade,FALSE,FALSE,,,,,,POINT (-75.341064 40.25994),0335922-01-999-0335922-4200-4299-01-01-2000,,,,,
0303916-06-001,303916,Chernew David S,Clear Focus Test Prep,338 28th St #A,San Francisco,CA,94131,4/1/2008,,6/10/2010,,338 28th St # A,San Francisco,94131,CA,,,FALSE,FALSE,,,8,Noe Valley,,POINT (-122.429924 37.74514),0303916-06-001-0303916--06-10-2010,84,9,5,22,84
0303916-04-001,303916,Chernew David S,David Chernew,338 28th St #A,San Francisco,CA,94131,4/1/2008,,4/1/2008,,338 28th St # A,San Francisco,94131,CA,,,FALSE,FALSE,,,8,Noe Valley,,POINT (-122.429924 37.74514),0303916-04-001-0303916--04-01-2008,84,9,5,22,84
0202170-01-001,202170,Clinton Reilly Communications,Clinton Reilly Campaigns,465 California St Bld Offc,San Francisco,CA,94104,12/31/1992,,2/27/1997,6/30/2019,465 California St 1600 Ste,San Francisco,94104,CA,,,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.40225 37.79289),0202170-01-001-0202170--02-27-1997,108,6,3,8,108
1218948-04-191,395125,Wang James Y,Wangnd.com,355 Octavia St Unit 34,San Francisco,CA,94102,1/30/2006,,4/16/2019,6/30/2020,77 Van Ness Ave 101 Ste,San Francisco,94102,CA,6100-6299,Private Education and Health Services,FALSE,FALSE,,,5,Hayes Valley,,POINT (-122.42446 37.77548),1218948-04-191-0395125-6100-6299-04-16-2019,22,4,11,9,22
0015582-02-001,15582,Kindel & Graham Inc,Sfparty,939 Post St,San Francisco,CA,94109,1/1/1997,9/30/2020,8/2/2000,9/30/2020,,,,,4400-4599,Retail Trade,FALSE,FALSE,Pos01 Posloc,Multiple,6,Tenderloin,,POINT (-122.41738 37.787125),0015582-02-001-0015582-4400-4599-08-02-2000,50,6,10,36,50
0019921-01-001,19921,Sf Pacifica Inc,1301 La Playa Apts,1301 Laplaya St,San+francisco,CA,94122,10/1/1968,7/29/2016,9/29/2007,7/29/2016,,,,,,,FALSE,FALSE,,,4,Sunset/Parkside,,POINT (-122.50942 37.761707),0019921-01-001-0019921--09-29-2007,39,10,7,35,39
0032618-03-001,32618,Schneider Joseph Rose & Jack,1271 9th Av Apts,1271 9th Ave,San+francisco,CA,94122,10/1/1968,2/24/2015,9/20/1971,2/24/2015,,,,,,,FALSE,FALSE,,,5,Inner Sunset,,POINT (-122.46669 37.764584),0032618-03-001-0032618--09-20-1971,109,10,11,14,109
0441576-01-001,441576,Alberts Daniel F,Daniel F Alberts Dpm,595 Buckingham Way Ste 330,San Francisco,CA,94132,1/1/1987,1/16/2020,1/1/1987,1/16/2020,,,,,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,7,Lakeshore,,POINT (-122.47614 37.73018),0441576-01-001-0441576-5400-5499-01-01-1987,41,10,8,16,41
1188513-05-181,333990,Ward Alene M,The Will And The Way-Penny Young,3234 Jennings St,San Francisco,CA,94124,3/1/2000,2/19/2021,5/16/2018,2/19/2021,,,,,,,FALSE,FALSE,,,10,Bayview Hunters Point,,POINT (-122.39511 37.71996),1188513-05-181-0333990--05-16-2018,88,2,9,1,88
0333990-01-001,333990,Ward Alene M,The Will And The Way-Penny Young,253 Charter Oak Ave,San Francisco,CA,94124,3/1/2000,2/19/2021,3/1/2000,8/16/2016,,,,,,,FALSE,FALSE,,,10,Bayview Hunters Point,,POINT (-122.40439 37.733727),0333990-01-001-0333990--03-01-2000,87,2,9,1,87
1261288-10-201,323620,United Rentals (North Ame) Inc,"United Rentals (North America), Inc. Dba United Rentals General",100 First Stamford Place 700,Stamford,CT,6902,8/28/1998,,8/1/2018,8/1/2018,140 Grand St Ste 300,White Plains,10601,NY,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,,,,POINT (-73.54993 41.044167),1261288-10-201-0323620-5300-5399-08-01-2018,,,,,
0399975-01-001,399975,Notor Ralph C,Ralph Notor Mft,220 Montgomery St 400,San Francisco,CA,94104,6/1/1999,,1/1/2008,4/30/2015,4518 18th St,San Francisco,94114,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.4024 37.791214),0399975-01-001-0399975-5400-5499-01-01-2008,108,6,3,8,108
1222133-05-191,399975,Notor Ralph C,Ralph Notor Mft,582 Market St Ste 1108,San Francisco,CA,94104,6/1/1999,,2/1/2019,,4518 18th St,San Francisco,94114,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.40166 37.789143),1222133-05-191-0399975-5400-5499-02-01-2019,108,6,3,8,108
